,AÑO,VUELTA,CANTON_CODIGO,VOTOS_NULOS_M,VOTOS_NULOS_F,VOTOS_BLANCOS_M,VOTOS_BLANCOS_F,VC_NOBOA_M,VC_GUTIERREZ_M,VC_NOBOA_F,VC_GUTIERREZ_F,ELECTORES_M,ELECTORAS_F,VOTOS VALIDOS,VOTOS_INVALIDOS,CANTON_NOMBRE,PROVINCIA_NOMBRE
82,2002,2,405,595.0,805.0,106.0,80.0,7811.0,1991.0,8458.0,1685.0,12591.0,12524.0,19945.0,1586.0,SALINAS,GUAYAS
83,2002,2,410,1680.0,2083.0,326.0,400.0,20931.0,5861.0,21484.0,4044.0,33362.0,31857.0,52320.0,4489.0,SANTA ELENA,GUAYAS
84,2002,2,415,1141.0,1308.0,137.0,158.0,6839.0,4861.0,6886.0,3195.0,18295.0,16564.0,21781.0,2744.0,BALZAR,GUAYAS
85,2002,2,420,3031.0,4168.0,305.0,363.0,15743.0,19814.0,18628.0,16328.0,54435.0,54114.0,70513.0,7867.0,MILAGRO,GUAYAS
86,2002,2,425,730.0,879.0,113.0,108.0,5665.0,3974.0,6135.0,2453.0,13253.0,11774.0,18227.0,1830.0,SAMBORONDON,GUAYAS
87,2002,2,430,1073.0,1146.0,182.0,191.0,6301.0,4612.0,6227.0,2858.0,16609.0,13879.0,19998.0,2592.0,SALITRE,GUAYAS
88,2002,2,435,712.0,887.0,132.0,118.0,3122.0,6876.0,3110.0,5566.0,16067.0,13739.0,18674.0,1849.0,NARANJAL,GUAYAS
89,2002,2,440,5089.0,6591.0,472.0,514.0,35543.0,20219.0,41687.0,16594.0,84714.0,88196.0,114043.0,12666.0,PORTOVIEJO,MANABI
90,2002,2,445,692.0,975.0,75.0,97.0,7245.0,2395.0,7561.0,1790.0,14636.0,14267.0,18991.0,1839.0,MONTECRISTI,MANABI
91,2002,2,446,81.0,91.0,10.0,12.0,2418.0,329.0,2474.0,249.0,3579.0,3299.0,5470.0,194.0,JARAMIJO,MANABI
92,2002,2,450,3512.0,4665.0,287.0,263.0,28933.0,12519.0,32437.0,10039.0,63996.0,66477.0,83928.0,8727.0,MANTA,MANABI
93,2002,2,455,1943.0,2588.0,260.0,235.0,11133.0,8597.0,11454.0,5702.0,29336.0,27292.0,36886.0,5026.0,JIPIJAPA,MANABI
94,2002,2,460,724.0,947.0,83.0,118.0,4969.0,2971.0,4559.0,1785.0,12921.0,11517.0,14284.0,1872.0,24 DE MAYO,MANABI
95,2002,2,465,586.0,874.0,80.0,100.0,4585.0,3576.0,5042.0,2660.0,11950.0,11262.0,15863.0,1640.0,ROCAFUERTE,MANABI
96,2002,2,470,1095.0,1413.0,143.0,176.0,7710.0,4090.0,7641.0,2528.0,19378.0,17023.0,21969.0,2827.0,SANTA ANA,MANABI
97,2002,2,475,937.0,1236.0,133.0,176.0,9026.0,4063.0,9745.0,2781.0,20325.0,19251.0,25615.0,2482.0,SUCRE,MANABI
98,2002,2,476,175.0,229.0,27.0,33.0,1388.0,910.0,1355.0,623.0,3866.0,3291.0,4276.0,464.0,JAMA,MANABI
99,2002,2,477,280.0,380.0,39.0,65.0,3098.0,1040.0,3128.0,727.0,6627.0,6154.0,7993.0,764.0,SAN VICENTE,MANABI
100,2002,2,480,2271.0,3057.0,279.0,372.0,17590.0,9238.0,19822.0,6806.0,44381.0,43291.0,53456.0,5979.0,CHONE,MANABI
101,2002,2,485,536.0,761.0,84.0,121.0,5933.0,3430.0,6677.0,2304.0,15183.0,14408.0,18344.0,1502.0,BOLIVAR,MANABI
102,2002,2,490,333.0,406.0,55.0,53.0,3587.0,1562.0,3584.0,1026.0,8329.0,7260.0,9759.0,847.0,JUNIN,MANABI
103,2002,2,495,1337.0,1484.0,130.0,188.0,6738.0,5628.0,6447.0,3315.0,18812.0,15928.0,22128.0,3139.0,PAJAN,MANABI
104,2002,2,500,1547.0,2030.0,231.0,264.0,9319.0,8433.0,10165.0,6025.0,28355.0,26002.0,33942.0,4072.0,EL CARMEN,MANABI
105,2002,2,505,557.0,743.0,81.0,87.0,2633.0,5225.0,3138.0,4062.0,12613.0,11096.0,15058.0,1468.0,EL TRIUNFO,GUAYAS
106,2002,2,510,510.0,653.0,87.0,84.0,2276.0,5285.0,2638.0,4143.0,11385.0,10079.0,14342.0,1334.0,NARANJITO,GUAYAS
107,2002,2,515,2670.0,3649.0,321.0,351.0,17533.0,12373.0,20056.0,9573.0,43987.0,43175.0,59535.0,6991.0,BABAHOYO,LOS RIOS
108,2002,2,516,440.0,532.0,65.0,71.0,2244.0,3409.0,2255.0,2401.0,8079.0,6784.0,10309.0,1108.0,VALENCIA,LOS RIOS
109,2002,2,520,844.0,930.0,164.0,103.0,4242.0,3771.0,4457.0,2402.0,11806.0,9914.0,14872.0,2041.0,BABA,LOS RIOS
110,2002,2,525,1585.0,2020.0,179.0,232.0,7809.0,8266.0,8841.0,5610.0,22938.0,20808.0,30526.0,4016.0,VINCES,LOS RIOS
111,2002,2,530,675.0,887.0,67.0,102.0,3058.0,3448.0,3380.0,2380.0,9468.0,8415.0,12266.0,1731.0,PUEBLO VIEJO,LOS RIOS
112,2002,2,535,597.0,757.0,73.0,80.0,3137.0,3783.0,3417.0,2700.0,10079.0,9065.0,13037.0,1507.0,URDANETA,LOS RIOS
113,2002,2,540,3365.0,4393.0,338.0,431.0,18006.0,17765.0,20235.0,15079.0,56932.0,55929.0,71085.0,8527.0,QUEVEDO,LOS RIOS
114,2002,2,545,1214.0,1635.0,116.0,146.0,6901.0,8218.0,7817.0,6321.0,22904.0,21321.0,29257.0,3111.0,VENTANAS,LOS RIOS
115,2002,2,550,491.0,766.0,91.0,107.0,5117.0,3611.0,5353.0,2530.0,12095.0,11015.0,16611.0,1455.0,TOSAGUA,MANABI
116,2002,2,555,147.0,247.0,18.0,40.0,185.0,1503.0,189.0,1370.0,3056.0,2928.0,3247.0,452.0,PUCARA,AZUAY
117,2002,2,556,111.0,128.0,13.0,19.0,409.0,1332.0,387.0,1038.0,2535.0,2151.0,3166.0,271.0,CAMILO PONCE ENRIQUEZ,AZUAY
118,2002,2,560,3340.0,4639.0,331.0,349.0,19549.0,11432.0,22921.0,10714.0,54455.0,57499.0,64616.0,8659.0,ESMERALDAS,ESMERALDAS
119,2002,2,561,486.0,526.0,87.0,52.0,1988.0,1575.0,1868.0,966.0,7030.0,5377.0,6397.0,1151.0,RIO VERDE,ESMERALDAS
120,2002,2,565,406.0,557.0,63.0,50.0,2569.0,1641.0,2535.0,1135.0,10256.0,8526.0,7880.0,1076.0,ELOY ALFARO,ESMERALDAS
121,2002,2,570,285.0,327.0,50.0,51.0,2468.0,1556.0,2360.0,918.0,7468.0,5794.0,7302.0,713.0,MUISNE,ESMERALDAS
122,2002,2,575,2172.0,2478.0,248.0,231.0,8799.0,11771.0,8470.0,8321.0,34453.0,28577.0,37361.0,5129.0,QUININDE,ESMERALDAS
123,2002,2,580,430.0,607.0,48.0,67.0,2255.0,1428.0,2483.0,1211.0,7556.0,7224.0,7377.0,1152.0,SAN LORENZO,ESMERALDAS
124,2002,2,585,39.0,53.0,3.0,5.0,167.0,556.0,161.0,452.0,1127.0,1036.0,1336.0,100.0,CHILLA,EL ORO
125,2002,2,590,369.0,571.0,41.0,56.0,1006.0,4184.0,1104.0,4041.0,9517.0,9026.0,10335.0,1037.0,MORONA,MORONA SANTIAGO
126,2002,2,595,182.0,235.0,17.0,52.0,400.0,1773.0,488.0,1935.0,4255.0,4054.0,4596.0,486.0,GUALAQUIZA,MORONA SANTIAGO
127,2002,2,600,98.0,118.0,6.0,13.0,169.0,1424.0,171.0,1568.0,3401.0,3008.0,3332.0,235.0,LIMON INDANZA,MORONA SANTIAGO
128,2002,2,605,87.0,118.0,11.0,20.0,286.0,1459.0,253.0,1445.0,3342.0,2986.0,3443.0,236.0,SANTIAGO,MORONA SANTIAGO
129,2002,2,610,183.0,265.0,12.0,34.0,428.0,1960.0,496.0,2213.0,5144.0,4770.0,5097.0,494.0,SUCUA,MORONA SANTIAGO
