,OP_CODIGO,OP_PROVINCIA_CODIGO,OP_CANTON_CODIGO,OP_PARROQUIA_CODIGO,OP_TIPO,OP_AMBITO,OP_NOMBRE,OP_SIGLAS,OP_LISTA
61,60000000043.0,6.0,0.0,0.0,MOVIMIENTOS PROVINCIALES,PROVINCIAL,MOVIMIENTO ALIANZA DEL PUEBLO,MAP,43
62,60000000046.0,6.0,0.0,0.0,MOVIMIENTOS PROVINCIALES,PROVINCIAL,PARTICIPACION Y ACCION INDEPENDIENTE,PAN,46
63,60000000050.0,6.0,0.0,0.0,MOVIMIENTOS NACIONALES,NACIONAL,PROYECTO PATRIOTICO POPULAR,PPP,50
64,60000000051.0,6.0,0.0,0.0,MOVIMIENTOS NACIONALES,NACIONAL,MOVIMIENTO FUERZA ACTIVA DEL DESARROLLO ECUATORIANO,FADE,51
65,60000000201.0,6.0,0.0,0.0,ALIANZAS,ALIANZA,ALIANZA CONCENTRACION DE FUERZAS POPULARES/MOVIMIENTO CIUDADANO NUEVO PAIS,CFP/MCNP,4-21
66,60000000202.0,6.0,0.0,0.0,ALIANZAS,ALIANZA,ALIANZA SOCIALISTA -FRENTE AMPLIO/MOVIMIENTO MINGA 2000,PS-FA /MIN2000,17-47
67,61900000203.0,6.0,190.0,0.0,ALIANZAS,ALIANZA,ALIANZA SOCIEDAD PATRIOTICA 21 DE ENERO/MOVIMIENTO POPULAR DEMOCRATICO,PSP/MPD,3-15
68,62050000047.0,6.0,205.0,0.0,MOVIMIENTOS CANTONALES,CANTONAL,MINGA 2000,MIN2000,47
69,62050000204.0,6.0,205.0,0.0,ALIANZAS,ALIANZA,ALIANZA,ID /AN,12-14
70,62050000205.0,6.0,205.0,0.0,ALIANZAS,ALIANZA,ALIANZA,MIN2000 /PS-FA,47-17
71,62100000044.0,6.0,210.0,0.0,MOVIMIENTOS CANTONALES,CANTONAL,"MOVIMIENTO DE UNIDAD CORONEL ""AMBROSIO LASSO""",MUCAL,44
72,62100000206.0,6.0,210.0,0.0,ALIANZAS,ALIANZA,ALIANZA,DP-UDC/MUCAL,5-44
73,62150000207.0,6.0,215.0,0.0,ALIANZAS,ALIANZA,ALIANZA,CFP/PSC,4-6
74,62150000208.0,6.0,215.0,0.0,ALIANZAS,ALIANZA,ALIANZA,DP-UDC/MAI,5-41
75,62200000209.0,6.0,220.0,0.0,ALIANZAS,ALIANZA,ALIANZA SOCIALISTA FRENTE AMPLIO/SOCIEDAD PATRIOTICA 21 DE ENERO,PS-FA /PSP,17-3
76,70000000041.0,7.0,0.0,0.0,MOVIMIENTOS PROVINCIALES,PROVINCIAL,MOVIMIENTO CIVICO INDEPENDIENTE,MCI,41
77,70000000043.0,7.0,0.0,0.0,MOVIMIENTOS PROVINCIALES,PROVINCIAL,MOVIMIENTO PARA EL PUEBLO,MPP,43
78,70000000044.0,7.0,0.0,0.0,MOVIMIENTOS PROVINCIALES,PROVINCIAL,MOVIMIENTO CIVICO FUERZA ORENSE,MCFO,44
79,70000000201.0,7.0,0.0,0.0,ALIANZAS,ALIANZA,ALIANZA UNION NACIONAL UNO / MOVIMIENTO CIVICO INDEPENDIENTE,UN - UNO/MCI,1-41
80,70000000202.0,7.0,0.0,0.0,ALIANZAS,ALIANZA,ALIANZA LIBERAL RADICAL ECUATORIANO /ALFARISMO NACIONAL,PLRE/AN,2-14
81,70000000203.0,7.0,0.0,0.0,ALIANZAS,ALIANZA,ALIANZA SOCIEDAD PATRIOTICA 21 DE ENERO/MOVIMIENTO UNIDAD PLURINACIONAL PACHAKUTIK - NUEVO PAIS / MOVIMIENTO PUEBLO PARA EL PUEBLO,PSP/MUPP-NP /MPP,3-18-43
82,73500000045.0,7.0,350.0,0.0,MOVIMIENTOS CANTONALES,CANTONAL,,,45
83,73550000204.0,7.0,355.0,0.0,ALIANZAS,ALIANZA,ALIANZA,MCNP /UN - UNO,21-1
84,73550000205.0,7.0,355.0,0.0,ALIANZAS,ALIANZA,ALIANZA MOVIMIENTO CIUDADANOS NUEVO PAIS/MOVIMIENTO CIVICO INDEPENDIENTE/UNION NACIONAL -UNO,MCNP /MCI /UN - UNO,21-41-1
85,75850000206.0,7.0,585.0,0.0,ALIANZAS,ALIANZA,ALIANZA POPULAR CHILLA 2002,ID - MPDID /MPD,12-15
86,76900000207.0,7.0,690.0,0.0,ALIANZAS,ALIANZA,ALIANZA,PRE /DP-UDC,10-5
87,76950000042.0,7.0,695.0,0.0,MOVIMIENTOS CANTONALES,CANTONAL,,FIMA,42
88,77050000208.0,7.0,705.0,0.0,ALIANZAS,ALIANZA,ALIANZA DEMOCRACIA POPULAR- UNION DEMOCRATA CRISTIANA/IZQUIERDA DEMOCRATICA,DP-UDC/ID,5-12
89,78600000209.0,7.0,860.0,0.0,ALIANZAS,ALIANZA,ALIANZA CONCENTRACION FUERZAS POPULARES / MOVIMIENTO PATRIA SOLIDARIA,CFP/MPS,4-24
90,78750000210.0,7.0,875.0,0.0,ALIANZAS,ALIANZA,ALIANZA LIBERAL RADICAL ECUATORIANO/ALFARISMO NACIONAL/MOVIMIENTO POPULAR DEMOCRATICO,PLRE/AN /MPD,2-14-15
91,80000000041.0,8.0,0.0,0.0,MOVIMIENTOS PROVINCIALES,PROVINCIAL,MUJERES AL PODER,MUJERES AL PODER,41
92,80000000042.0,8.0,0.0,0.0,MOVIMIENTOS PROVINCIALES,PROVINCIAL,MOVIMIENTO INDEPENDIENTE AFRO ESMERALDEÑO RAICES,MAER,42
93,80000000043.0,8.0,0.0,0.0,MOVIMIENTOS PROVINCIALES,PROVINCIAL,MOVIMIENTO INDEPENDIENTE ACCION NUEVA,MIAN,43
94,80000000201.0,8.0,0.0,0.0,ALIANZAS,ALIANZA,ALIANZA UNIDAD ESMERALDEÑA,DP-UDC/MIN,5-30
95,85700000202.0,8.0,570.0,0.0,ALIANZAS,ALIANZA,ALIANZA IZQUIERDA DEMOCRATICA / DEMOCRACIA POPULAR - UNION DEMOCRATA CRISTIANA,ID /DP-UDC,12-5
96,90000000043.0,9.0,0.0,0.0,MOVIMIENTOS PROVINCIALES,PROVINCIAL,MOVIMIENTO INDEPENDIENTE NUEVO HORIZONTE,MNH,43
97,90000000044.0,9.0,0.0,0.0,MOVIMIENTOS PROVINCIALES,PROVINCIAL,ALIANZA POLITICA INDEPENDIENTE ECUATORIANA,APIE,44
98,90000000048.0,9.0,0.0,0.0,MOVIMIENTOS PROVINCIALES,PROVINCIAL,UNION DEMOCRATA CRISTIANA,UDC,48
99,90950000050.0,9.0,95.0,0.0,MOVIMIENTOS CANTONALES,CANTONAL,MOVIMIENTO INDEPENDIENTE PROGRESISTA BALOENSE,MPB,50
100,94250000201.0,9.0,425.0,0.0,ALIANZAS,ALIANZA,ALIANZA DEMOCRACIA POPULAR-UNION DEMOCRATA CRISTIANA/SOCIALISTA FRENTE AMPLIO,DP-UDC/PS-FA,5-17
101,94300000202.0,9.0,430.0,0.0,ALIANZAS,ALIANZA,ALIANZA CONCENTRACION DE FUERZAS POPULARES/MOVIMIENTO UNIDAD PLURINACIONAL PACHAKUTIK-NUEVO PAIS,CFP/MUPP-NP,4-18
102,100000000201.0,10.0,0.0,0.0,ALIANZAS,ALIANZA,ALIANZA UNION NACIONAL - UNO / DEMOCRACIA POPULAR - UNION DEMOCRATA CRISTIANA,UN - UNO/DP-UDC,1-5
103,100000000202.0,10.0,0.0,0.0,ALIANZAS,ALIANZA,UNIDAD PATRIOTICA POPULAR,PSP/MPD,3-15
104,100000000203.0,10.0,0.0,0.0,ALIANZAS,ALIANZA,UNIDAD IMBABUREÑA,PSC/AN,6-14
105,100350000042.0,10.0,35.0,0.0,MOVIMIENTOS CANTONALES,CANTONAL,MOVIMIENTO INDEPENDIENTE ECUADOR RUMIÑAHUI,MIER,42
106,100500000041.0,10.0,50.0,0.0,MOVIMIENTOS CANTONALES,CANTONAL,MOVIMIENTO INDEDPENDIENTE TIERRA NUESTRA,M-TNT,41
107,100500000204.0,10.0,50.0,0.0,ALIANZAS,ALIANZA,UNIDAD CANTONAL,DP-UDC/PSC/AN,5-6-14
108,110000000042.0,11.0,0.0,0.0,MOVIMIENTOS PROVINCIALES,PROVINCIAL,MOVIMIENTO DE INTEGRACION REGIONAL ECUATORIANO,MIRE,42
109,110000000201.0,11.0,0.0,0.0,ALIANZAS,ALIANZA,ALIANZA IZQUIERDA DEMOCRATICA / MOVIMIENTO DE INTEGRACION REGIONAL ECUATORIANO,ID/MIRE,12-42
110,113100000202.0,11.0,310.0,0.0,ALIANZAS,ALIANZA,ALIANZA MOVIMIENTO POPULAR DEMOCRATICO/SOCIALISTA-FRENTE AMPLIO,MPD /PS-FA MPD /PS-FA,15-17
111,113110000203.0,11.0,311.0,0.0,ALIANZAS,ALIANZA,ALIANZA MOVIMIENTO POPULAR DEMOCRATICO/ SOCIALISTA-FRENTE AMPLIO,MPD /PS-FA,15-17
112,113150000204.0,11.0,315.0,0.0,ALIANZAS,ALIANZA,ALIANZA SOCIEDAD PATRIOTICA 21 DE ENERO/MOVIMIENTO POPULAR DEMOCRATICO/SOCIALISTA FRENTE AMPLIO,PSP/MPD /PS-FA,3-15-17
113,113250000205.0,11.0,325.0,0.0,ALIANZAS,ALIANZA,ALIANZA LIBERAL RADICAL ECUATORIANO/CONCENTRACION DE FUERZAS POPULARES,PLRE/CFP,2-4
114,113250000206.0,11.0,325.0,0.0,ALIANZAS,ALIANZA, ALIANZA MOVIMIENTO POPULAR DEMOCRATICO/SOCIALISTA FRENTE AMPLIO,MPD /PS-FA,15-17
115,113300000207.0,11.0,330.0,0.0,ALIANZAS,ALIANZA,ALIANZA MOVIMIENTO POPULAR DEMOCRATICO/SOCIALISTA FRENTE AMPLIO/SOCIEDAD PATRIOTICA 21 DE ENERO,MPD/PS-FA/PSP,15-17-3
116,113350000208.0,11.0,335.0,0.0,ALIANZAS,ALIANZA,ALIANZA MOVIMIENTO POPULAR DEMOCRATICO /SOCIALISTA- FRENTE AMPLIO,MPD /PS-FA,15-17
117,113400000209.0,11.0,340.0,0.0,ALIANZAS,ALIANZA,ALIANZA MOVIMIENTO POPULAR DEMOCRATICO/SOCIALISTA-FRENTE AMPLIO,MPD /PS-FA,15-17
118,113450000210.0,11.0,345.0,0.0,ALIANZAS,ALIANZA,ALIANZA MOVIMIENTO POPULAR DEMOCRATICO/SOCIALISTA - FRENTE AMPLIO,MPD /PS-FA,15-17
119,117300000211.0,11.0,730.0,0.0,ALIANZAS,ALIANZA,ALIANZA MOVIMIENTO POPULAR DEMOCRATICO/SOCIEDAD PATRIOTICA 21 DE ENERO,MPD/PSP,15-3
120,117400000043.0,11.0,740.0,0.0,MOVIMIENTOS CANTONALES,CANTONAL,FRENTE DE ACCION Y DESARROLLO QUILANGUENSE,FADQ,43
121,118150000212.0,11.0,815.0,0.0,ALIANZAS,ALIANZA,ALIANZA MOVIMIENTO POPULAR DEMOCRATICO/SOCIALISTA FRENTE AMPLIO,MPD /PS-FA,15-17
122,120000000201.0,12.0,0.0,0.0,ALIANZAS,ALIANZA,ALIANZA SOCIEDAD PATRIOTICA 21 DE ENERO / MOVIMIENTO POPULAR DEMOCRATICO,PSP/MPD,3-15
123,120000000202.0,12.0,0.0,0.0,ALIANZAS,ALIANZA,ALIANZA SOCIEDAD PATRIOTICA -MPD-PACHAKUTIK,PSP/MPD /MUPP-NP,3-15-18
